<<<<<<< HEAD
DataComp baseline: Basic filtering,0.142,0.038,3000000,4-26-2023
DataComp baseline: LAION-2B filtering,0.133,0.030,1300000,4-26-2023
DataComp baseline: CLIP score (L/14 30%),0.172,0.050,3400000,4-26-2023
DataComp baseline: Image-based,0.158,0.043,3000000,4-26-2023
DataComp baseline: Text-based,0.156,0.046,3200000,4-26-2023
DataComp baseline: Image-based ∩ CLIP score (L/14 30%),0.144,0.039,1400000,4-26-2023
DataComp baseline: No filter,0.141,0.027,12800000,4-26-2023
=======
---,---,---,---,---,---
---,---,---,---,---,---
---,---,---,---,---,---
---,---,---,---,---,---
---,---,---,---,---,---
>>>>>>> 6f994ee7e97e8682d15b8839a5925565f071b4af
