DataComp baseline: No filtering,0.614,0.723,12800000000,4-26-2023
DataComp baseline: LAION-2B filtering,0.631,0.754,1300000000,4-26-2023
DataComp baseline: CLIP score (L/14 30%),0.645,0.764,3800000000,4-26-2023
DataComp baseline: Image-based ∩ CLIP score (L/14 30%),0.658,0.792,1400000000,4-26-2023
