DataComp baseline: CC12M,0.267,0.245,10000000,4-26-2023
DataComp baseline: RedCaps,0.262,0.237,11000000,4-26-2023
DataComp baseline: Shutterstock,0.326,0.342,58000000,4-26-2023
DataComp baseline: YFCC15M,0.253,0.232,15000000,4-26-2023
DataComp baseline: 4 external sources,0.349,0.377,109000000,4-26-2023
