date,name,imagenet_acc,avg_acc,dataset_size,author,writeup
4-28-2023,Baseline: CommonPool CLIP score filter + 4 external sources,0.609,0.536,500000000,DataComp team,https://arxiv.org/abs/2304.14108
4-28-2023,Baseline: CommonPool CLIP score filter + 4 external sources (upsampled 2x),0.621,0.541,500000000,DataComp team,https://arxiv.org/abs/2304.14108
4-28-2023,Baseline: LAION-2B,0.585,0.515,2300000000,DataComp team,https://arxiv.org/abs/2304.14108
